GTIN,SKU,Product_Name,Price
,NOZPZG6D,Sonoma,17380
69342672,,Esteem,1425
90418134,EP8KNNRU,,85664
20085641,INTOV8M0,Safari,
27504392,46VU27YG,Commander,49803
20866431,2U5EER05,H1,39215
82087042,CVA9VTBW,JUKE,19246
64844641,XJTDCLKB,MKX,85804
62385777,TFSUBGE9,Ram Van 3500,3181
51184699,NDESJ4OE,Tiguan,47898
73874490,E2HXQUEV,7 Series,97419
80695550,KUXVC7NH,Cayman,52278
59179571,VSI3UQU4,SRX,92208
30121559,870ZQ6XK,Equus,63420
54379391,FFGF3XOO,Savana 2500,22413
94824102,S3Z1VDNK,Colt,79232
26997259,WIQHXN6D,Sedona,76789
38259472,DLL25T71,Dakota Club,48900
76929031,7O4G6UAE,Thunderbird,87962
59402833,NNRCWVGO,Classic,71465
51727712,XRDHTMPF,Yukon XL 2500,47712
23744118,RLBHLNVR,Skylark,53460
31599900,3VCVLDH1,Riviera,95692
99865804,RUNEPQRQ,SLK55 AMG,87522
